"AltCountLineCode","CountInput","CountLineBlank","CountLineCodeDecl","CountLineComment","CountLinePreprocessor","CountPath","CountStmt","CountStmtEmpty","Cyclomatic","CyclomaticStrict","Knots","MinEssentialKnots","RatioCommentToCode","AltCountLineComment","CountLine","CountLineCode","CountLineCodeExe","CountLineInactive","CountOutput","CountSemicolon","CountStmtDecl","CountStmtExe","CyclomaticModified","Essential","MaxEssentialKnots","MaxNesting","Affected","Fold"
7,4,1,2,0,0,1,4,0,1,1,0,0,0,0,8,7,4,0,6,4,1,3,1,1,0,0,"VULNERABLE",1
23,5,7,4,1,0,4,23,0,4,6,5,5,0.04,1,31,23,16,0,6,20,6,17,4,4,5,3,"NEUTRAL",1
24,21,2,3,0,0,6,18,0,6,6,7,7,0,0,26,24,14,0,4,13,1,17,6,6,7,3,"NEUTRAL",1
11,6,3,3,0,0,2,6,0,3,3,1,0,0,0,14,11,6,0,1,5,1,5,3,1,0,1,"NEUTRAL",1
65,10,15,14,34,0,25,42,0,11,11,24,14,0.52,34,109,65,49,0,18,30,6,36,6,6,14,2,"VULNERABLE",1
12,1597,1,2,0,0,4,8,0,4,4,3,3,0,0,13,12,7,0,4,5,1,7,4,4,3,2,"NEUTRAL",1
25,2,7,5,0,0,4,19,0,5,5,3,3,0,0,32,25,17,0,9,16,2,17,5,4,3,1,"NEUTRAL",1
119,15,31,20,3,0,101,105,0,13,13,24,23,0.03,3,153,119,101,0,46,94,22,83,13,9,23,2,"NEUTRAL",1
19,6,2,3,1,0,9,15,0,5,5,3,0,0.05,1,22,19,14,0,8,11,2,13,5,1,0,2,"NEUTRAL",1
97,22,14,9,21,0,4824,76,0,25,43,121,121,0.22,21,128,97,82,0,14,52,7,69,22,23,121,3,"VULNERABLE",1
58,20,5,8,13,0,1512,93,0,42,45,3,0,0.22,13,76,58,48,0,20,77,7,86,42,1,0,8,"VULNERABLE",1
60,25,0,5,0,0,8,27,0,16,16,0,0,0,0,60,60,50,0,34,24,0,27,16,1,0,1,"VULNERABLE",1
87,34,28,11,11,0,3747,75,0,24,26,11,7,0.13,11,123,87,71,0,18,55,10,65,24,5,7,4,"NEUTRAL",1
10,7,2,3,0,0,1,7,0,1,1,0,0,0,0,12,10,7,0,7,7,2,5,1,1,0,0,"VULNERABLE",1
125,10,21,8,36,11,373,81,0,21,27,20,15,0.35,43,181,104,85,14,23,63,7,74,21,12,18,3,"NEUTRAL",1
50,4,8,5,0,0,66,34,0,13,14,3,3,0,0,58,50,37,0,8,26,4,30,13,5,3,2,"NEUTRAL",1
9,9,1,3,0,0,1,4,0,1,2,0,0,0,0,10,9,5,0,3,4,2,2,1,1,0,0,"NEUTRAL",1
22,13,5,1,4,0,5,13,0,4,6,2,0,0.18,4,31,22,17,0,11,10,0,13,4,1,0,1,"NEUTRAL",1
269,22,12,41,7,0,192,233,1,66,66,737,735,0.03,7,288,269,223,0,39,167,21,211,48,62,735,4,"VULNERABLE",1
31,10,8,10,6,0,24,22,0,7,7,9,8,0.19,6,45,31,22,0,9,17,5,17,7,5,8,2,"VULNERABLE",1
28,13,8,5,1,0,7,21,0,7,9,7,7,0.04,1,37,28,21,0,6,15,4,17,7,7,7,2,"VULNERABLE",1
11,4,3,3,5,0,1,8,0,1,1,0,0,0.45,5,19,11,6,0,3,8,2,6,1,1,0,0,"VULNERABLE",1
41,20,4,12,0,0,14,29,0,7,7,3,2,0,0,45,41,30,0,20,23,7,22,7,3,2,2,"VULNERABLE",1
56,20,4,7,1,0,18,57,1,21,24,7,7,0.02,1,61,56,33,0,17,50,6,50,21,5,7,2,"NEUTRAL",1
37,14,7,7,4,0,22,29,0,10,12,6,6,0.11,4,48,37,25,0,11,20,5,24,10,7,6,2,"VULNERABLE",1
80,20,19,11,10,2,99,60,0,17,17,13,13,0.13,13,113,75,62,7,27,50,7,53,17,9,13,2,"NEUTRAL",1
28,11,7,7,0,0,5,19,0,5,5,3,2,0,0,35,28,17,0,8,15,4,15,5,3,2,2,"VULNERABLE",1
60,26,3,17,1,0,1230,145,0,54,68,11,3,0.02,1,64,60,49,0,34,127,24,121,54,4,3,7,"NEUTRAL",1
4,2,0,1,0,0,1,1,0,1,1,0,0,0,0,4,4,1,0,1,1,0,1,1,1,0,0,"VULNERABLE",1
36,16,5,6,24,0,2,28,0,2,2,1,0,0.67,24,65,36,27,0,10,27,2,26,2,1,0,1,"NEUTRAL",1
38,24,9,10,12,0,12500,138,31,24,25,54,4,0.32,12,59,38,28,0,17,111,8,99,9,3,4,1,"NEUTRAL",1
17,5,1,5,0,0,4,10,0,4,5,0,0,0,0,18,17,10,0,5,7,3,7,4,1,0,3,"VULNERABLE",1
24,16,4,2,0,0,1,13,0,1,3,0,0,0,0,28,24,20,0,20,13,0,13,1,1,0,0,"VULNERABLE",1
23,6,5,9,3,0,5,37,0,12,12,2,2,0.13,3,31,23,13,0,8,34,5,32,12,3,2,4,"NEUTRAL",1
180,30,33,11,23,0,368640,127,19,22,27,31,31,0.13,23,236,180,116,0,18,106,10,98,22,18,31,3,"NEUTRAL",1
18,11,1,5,0,0,3,10,0,3,3,1,0,0,0,19,18,12,0,5,8,3,7,3,1,0,1,"VULNERABLE",1
11,18,1,1,1,0,3,8,0,4,4,0,0,0.09,1,13,11,7,0,6,6,0,8,4,1,0,2,"NEUTRAL",1
9,3,1,2,0,0,2,4,0,2,3,0,0,0,0,10,9,5,0,1,3,1,3,2,1,0,1,"VULNERABLE",1
16,10,3,5,0,0,6,9,0,4,5,1,0,0,0,19,16,11,0,3,6,2,7,4,1,0,1,"VULNERABLE",1
7,2,2,2,2,0,1,3,0,1,1,0,0,0.29,2,11,7,4,0,4,3,1,2,1,1,0,0,"NEUTRAL",1
55,6,5,6,0,0,17,44,0,15,17,1,0,0,0,60,55,32,0,11,35,5,39,15,1,0,5,"NEUTRAL",1
9,5,1,4,0,0,2,25,0,9,9,0,0,0,0,10,9,5,0,6,24,4,21,9,1,0,5,"NEUTRAL",1
19,9,6,4,4,0,6,19,0,5,5,2,2,0.21,4,29,19,15,0,11,15,2,17,5,3,2,1,"NEUTRAL",1
